0,5
1,11
2,6
3,0
4,9
5,21
6,12
7,17
8,20
9,5
10,22
11,7
12,0
13,14
14,13
15,20
16,17
17,7
18,12
19,6
20,15
21,3
22,24
23,24
24,13
25,9
26,23
27,12
28,15
29,15
30,10
31,15
32,18
33,21
34,9
35,9
36,1
37,19
38,2
39,9
40,24
41,3
42,20
43,5
44,12
45,10
46,17
47,22
48,25
49,5
50,17
51,19
52,13
53,11
54,14
55,23
56,14
57,9
58,9
59,8
60,21
61,8
62,14
63,12
64,7
65,10
66,7
67,21
68,7
69,6
70,2
71,2
72,12
73,12
74,8
75,11
76,16
77,4
78,3
